Name,Country,QS Global World Ranking,Status,Research Output,Total Students,Academic Faculty Staff,International Students,Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,Number of International Students,Number of International Faculty
Maynooth University,Ireland,#701-750,Public,Very High,"10,425",651, 19.4,,,,, 18.9, 83.3,"1,192",203
Memorial University of Newfoundland,Canada,#701-750,Public,High,"15,697","1,082", 59.1,,,,, 26.7, 29.4,"3,421",149
Mendel University in Brno,Czech Republic,#701-750,Public,Very High,"7,561",752, 50.7,,,, 42,,,"1,494",47
Middlesex University,United Kingdom,#701-750,Public,High,"16,125",963, 79.3,,,,,, 86.4,"7,420",316
Nanjing University of Science and Technology,China Mainland,#701-750,Public,Very High,"27,601","2,191",935,,,,, 44.2,,935,96
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",Ukraine,#701-750,Public,Very High,"20,453","2,017",626,,, 26.1, 41.1,,,626,6
Notre Dame University-Louaize NDU,Lebanon,#701-750,Private,High,"3,856",372, 25.9,,, 23.4, 26.4,, 84.9,519,121
Riga Technical University,Latvia,#701-750,Public,Very High,"10,515",893, 37.5,,, 19.8, 28.2,, 17,"1,751",84
Saint Petersburg Electrotechnical University ETU-LETI,Russia,#701-750,Public,Very High,"8,394",972, 50.7,,,, 58.6,,,"1,658",33
Southern Methodist University,United States,#701-750,Private,Very High,"9,802",968, 27.6,,,, 41.3,,,"1,368",85
Stevens Institute of Technology,United States,#701-750,Private,High,"6,352",314, 95.5,,,,, 32.1, 42.7,"2,277",56
Sumy State University,Ukraine,#701-750,Public,High,"8,472",957, 52.5,,,, 55.7,,,"1,720",10
Sunway University,Malaysia,#701-750,Private,High,"5,299",516, 23.8,,, 28.4, 36.2,, 42.1,681,91
Temple University,United States,#701-750,Public,Very High,"35,922","2,814","2,842",,,,, 20.8,,"2,842",96
Universidade de Santiago de Compostela,Spain,#701-750,Public,Very High,"24,485","1,678","1,334",, 20,,, 22.1,,"1,334",18
University of Trieste,Italy,#701-750,Public,High,"16,314",736,"1,287",,,,, 41.4,,"1,287",35
Universität Rostock,Germany,#701-750,Public,High,"13,781","2,484", 17,,,, 52.6,,,"1,464",0
Université Claude Bernard Lyon 1,France,#701-750,Public,High,"37,094","2,225","3,773",, 19.6,,, 22.5,,"3,773",134
Université de Sherbrooke,Canada,#701-750,Public,High,"14,373","1,168","1,115",,, 18, 25.1, 19.7, 59.1,"1,115",264
Universiti Tenaga Nasional (UNITEN),Malaysia,#701-750,Private,Very High,"4,610",444, 18.8,,,, 37,, 18.9,518,45
University of Central Florida,United States,#701-750,Public,High,"53,564","2,079","2,255",,, 25.7,, 26.5,,"2,255",184
University of Electronic Science and Technology of China,China Mainland,#701-750,Public,Very High,"33,428","2,032",960,,,,, 58.1,,960,54
University of Greenwich,United Kingdom,#701-750,Public,High,"15,618",856, 97.9,,,,,, 87.3,"6,086",285
University of Haifa,Israel,#701-750,Public,Very High,"15,866","1,978",838,,,, 32.3,,,838,183
University of Houston,United States,#701-750,Public,Very High,"37,263","1,676","3,209",,,,, 37.7,,"3,209",89
University of Huddersfield,United Kingdom,#701-750,Public,High,"15,453",811, 72.9,,, 19.8,,, 62.7,"3,782",193
"University of Maryland, Baltimore County",United States,#701-750,Public,High,"11,764",790,983,,,,, 36.3,,983,57
University of Southern Queensland,Australia,#701-750,Public,High,"12,116",575, 43.4,,,,, 25.3, 72.6,"2,213",163
Worcester Polytechnic Institute,United States,#701-750,Private,Very High,"5,949",447, 48.7,,,,, 34.8, 24.2,"1,147",54
Zayed University,United Arab Emirates,#701-750,Public,High,"6,396",554,145,,,, 29.7,, 100,145,495
Beijing Jiaotong University,China Mainland,#751-800,Public,Very High,"27,932","2,111","2,504",,,,, 25.7,,"2,504",86
Bournemouth University,United Kingdom,#751-800,Public,High,"15,431",806, 45.2,,,,, 21.3, 80.6,"2,847",242
Chongqing University,China Mainland,#751-800,Public,Very High,"39,659","2,784",807,,,,, 44,,807,88
Chungnam National University,South Korea,#751-800,Public,Very High,"20,632","1,896",917,,,, 34.6,,,917,91
Clarkson University,United States,#751-800,Private,Very High,"3,794",300,285,,,,, 38.5, 29,285,41
Dankook University,South Korea,#751-800,Private,High,"24,213","2,822","1,159",,,, 59.4,,,"1,159",115
Florida International University,United States,#751-800,,Very High,"35,452","2,200","3,409",,, 22,,, 24.5,"3,409",268
Georgia State University,United States,#751-800,Public,Very High,"29,211","1,321","1,868",,, 19.4,, 29.5,,"1,868",70
Indiana University–Purdue University Indianapolis,United States,#751-800,,,"23,443","1,607","1,351",,,, 34.1,, 22.1,"1,351",232
Istanbul Technical University,Turkey,#751-800,Public,Very High,"34,067","1,795","1,629",, 17.6, 33.1,,,,"1,629",54
Kazakh-British Technical University,Kazakhstan,#751-800,Public,High,"2,762",285,31,,,, 37.8,, 40.8,31,29
NJSC KIMEP University,Kazakhstan,#751-800,Private,Low,"1,834",161, 19.9,,,, 30.7,, 82.9,213,50
London South Bank University,United Kingdom,#751-800,,,"11,105",773, 92.4,,,,,, 68.9,"3,699",208
"Manipal Academy of Higher Education, Manipal, Karnataka, India",India,#751-800,Private,High,"25,003","2,793","1,164",,,, 54.5,,,"1,164",12
New Jersey Institute of Technology (NJIT),United States,#751-800,Public,Very High,"8,712",631, 52.1,,,,, 24.2, 40.1,"1,750",188
Northwest University (China),China Mainland,#751-800,Public,Very High,"21,776","2,288","1,009",,,, 47.7,,,"1,009",67
Nottingham Trent University,United Kingdom,#751-800,Public,High,"30,262","1,828", 49.1,,, 24.8,,, 52.4,"6,089",377
Oklahoma State University,United States,#751-800,Public,Very High,"21,890","1,473","1,753",,,,, 19.7, 50.8,"1,753",304
Paris Lodron University of Salzburg,Austria,#751-800,Public,High,"14,137",548, 96.8,,,,, 25.3,,"5,073",0
Plekhanov Russian University of Economics,Russia,#751-800,Public,High,"14,884","1,531", 22.6,,,, 45.4,,,"1,855",104
Politecnico di Bari,Italy,#751-800,,,"10,229",251,149,,,,, 50.8,,149,10
